Index   time[s]   T[K]   rho[g/cm^3]
0 1.000000000000E-16 7.0000 1.0000E8
1 1.318256738556E-16 7.0000 1.0000E8
2 1.737800828749E-16 7.0000 1.0000E8
3 2.290867652768E-16 7.0000 1.0000E8
4 3.019951720402E-16 7.0000 1.0000E8
5 3.981071705535E-16 7.0000 1.0000E8
6 5.248074602498E-16 7.0000 1.0000E8
7 6.918309709189E-16 7.0000 1.0000E8
8 9.120108393559E-16 7.0000 1.0000E8
9 1.202264434617E-15 7.0000 1.0000E8
10 1.584893192461E-15 7.0000 1.0000E8
11 2.089296130854E-15 7.0000 1.0000E8
12 2.754228703338E-15 7.0000 1.0000E8
13 3.630780547701E-15 7.0000 1.0000E8
14 4.786300923226E-15 7.0000 1.0000E8
15 6.309573444802E-15 7.0000 1.0000E8
16 8.317637711026E-15 7.0000 1.0000E8
17 1.096478196143E-14 7.0000 1.0000E8
18 1.445439770746E-14 7.0000 1.0000E8
19 1.905460717963E-14 7.0000 1.0000E8
20 2.511886431509E-14 7.0000 1.0000E8
21 3.311311214826E-14 7.0000 1.0000E8
22 4.365158322401E-14 7.0000 1.0000E8
23 5.754399373371E-14 7.0000 1.0000E8
24 7.585775750292E-14 7.0000 1.0000E8
25 10.000000000000E-14 7.0000 1.0000E8
26 1.318256738556E-13 7.0000 1.0000E8
27 1.737800828749E-13 7.0000 1.0000E8
28 2.290867652768E-13 7.0000 1.0000E8
29 3.019951720402E-13 7.0000 1.0000E8
30 3.981071705535E-13 7.0000 1.0000E8
31 5.248074602497E-13 7.0000 1.0000E8
32 6.918309709189E-13 7.0000 1.0000E8
33 9.120108393559E-13 7.0000 1.0000E8
34 1.202264434617E-12 7.0000 1.0000E8
35 1.584893192461E-12 7.0000 1.0000E8
36 2.089296130854E-12 7.0000 1.0000E8
37 2.754228703338E-12 7.0000 1.0000E8
38 3.630780547701E-12 7.0000 1.0000E8
39 4.786300923226E-12 7.0000 1.0000E8
40 6.309573444801E-12 7.0000 1.0000E8
41 8.317637711026E-12 7.0000 1.0000E8
42 1.096478196143E-11 7.0000 1.0000E8
43 1.445439770746E-11 7.0000 1.0000E8
44 1.905460717963E-11 7.0000 1.0000E8
45 2.511886431509E-11 7.0000 1.0000E8
46 3.311311214826E-11 7.0000 1.0000E8
47 4.365158322401E-11 7.0000 1.0000E8
48 5.754399373371E-11 7.0000 1.0000E8
49 7.585775750291E-11 7.0000 1.0000E8
50 9.999999999999E-11 7.0000 1.0000E8
51 1.318256738556E-10 7.0000 1.0000E8
52 1.737800828749E-10 7.0000 1.0000E8
53 2.290867652768E-10 7.0000 1.0000E8
54 3.019951720402E-10 7.0000 1.0000E8
55 3.981071705535E-10 7.0000 1.0000E8
56 5.248074602497E-10 7.0000 1.0000E8
57 6.918309709189E-10 7.0000 1.0000E8
58 9.120108393558E-10 7.0000 1.0000E8
59 1.202264434617E-9 7.0000 1.0000E8
60 1.584893192461E-9 7.0000 1.0000E8
61 2.089296130854E-9 7.0000 1.0000E8
62 2.754228703338E-9 7.0000 1.0000E8
63 3.630780547701E-9 7.0000 1.0000E8
64 4.786300923226E-9 7.0000 1.0000E8
65 6.309573444801E-9 7.0000 1.0000E8
66 8.317637711026E-9 7.0000 1.0000E8
67 1.096478196143E-8 7.0000 1.0000E8
68 1.445439770746E-8 7.0000 1.0000E8
69 1.905460717963E-8 7.0000 1.0000E8
70 2.511886431509E-8 7.0000 1.0000E8
71 3.311311214826E-8 7.0000 1.0000E8
72 4.365158322401E-8 7.0000 1.0000E8
73 5.754399373371E-8 7.0000 1.0000E8
74 7.585775750291E-8 7.0000 1.0000E8
75 9.999999999999E-8 7.0000 1.0000E8
76 1.318256738556E-7 7.0000 1.0000E8
77 1.737800828749E-7 7.0000 1.0000E8
78 2.290867652768E-7 7.0000 1.0000E8
79 3.019951720402E-7 7.0000 1.0000E8
80 3.981071705535E-7 7.0000 1.0000E8
81 5.248074602497E-7 7.0000 1.0000E8
82 6.918309709189E-7 7.0000 1.0000E8
83 9.120108393558E-7 7.0000 1.0000E8
84 1.202264434617E-6 7.0000 1.0000E8
85 1.584893192461E-6 7.0000 1.0000E8
86 2.089296130854E-6 7.0000 1.0000E8
87 2.754228703338E-6 7.0000 1.0000E8
88 3.630780547701E-6 7.0000 1.0000E8
89 4.786300923226E-6 7.0000 1.0000E8
90 6.309573444801E-6 7.0000 1.0000E8
91 8.317637711026E-6 7.0000 1.0000E8
92 1.096478196143E-5 7.0000 1.0000E8
93 1.445439770746E-5 7.0000 1.0000E8
94 1.905460717963E-5 7.0000 1.0000E8
95 2.511886431509E-5 7.0000 1.0000E8
96 3.311311214826E-5 7.0000 1.0000E8
97 4.365158322401E-5 7.0000 1.0000E8
98 5.754399373371E-5 7.0000 1.0000E8
99 7.585775750291E-5 7.0000 1.0000E8
100 9.999999999999E-5 7.0000 1.0000E8
