Y(Restart:logt=-4.000000)
9.999999999998896E-5 1.233807245501758E-6 -3.6001157971272584E30 0.001 1.0E-5 0.0 1.3714287281634087E31
n  z  Y
2  2  0.11220739373823539
6  6  6.107191003033771E-6
8  8  1.0479170251525704E-5
10  10  3.9252914634760957E-7
12  12  2.3283011943236792E-5
14  14  0.002880946906227281
16  16  0.0024309984818504135
18  18  0.001426089959998374
20  20  0.0012678096474877908
22  22  1.1754109335130362E-4
24  24  4.218692936667864E-4
26  26  0.0015590057079559966
28  28  0.0032684189747000463
30  30  5.518981739710468E-6
32  32  4.793085111919692E-9
34  34  9.502875664647545E-12
