Y(Restart:logt=2.500000)
316.22776601682244 0.05239154234290901 6.061711466586429E30 0.2 5.0E-9 0.0 1.2843413406586059E30
n  z  Y
1  0  9.307249262499606E-22
0  1  0.16877208702838947
1  1  3.0092514168604782E-18
1  2  7.343733650509397E-14
2  2  0.003937152346432712
3  4  7.614700061440463E-14
3  5  8.341568206206758E-16
3  6  1.3638968405285312E-11
5  6  1.6991283664715204E-16
6  6  5.594036409520455E-13
7  6  6.0829699792458436E-21
5  7  6.056360646929847E-13
6  7  4.911987660237756E-12
7  7  1.8816375964760433E-13
8  7  5.538411879434089E-18
5  8  5.187169789524847E-17
6  8  2.4259202413451366E-5
7  8  1.0868239758678495E-5
8  8  1.3903518623246825E-14
9  8  1.6322928535190484E-22
10  8  1.565837334544891E-29
5  9  6.481157110111954E-8
6  9  1.2893036008177334E-14
7  9  1.4028737774365312E-8
8  9  6.474223668411176E-14
9  9  1.4727366104643233E-16
10  9  1.9681910157910873E-19
5  10  4.237099163288129E-13
6  10  1.4167303594676144E-7
7  10  7.644587559712478E-24
8  10  4.818654722947797E-9
9  10  1.4066517009204866E-9
10  10  6.060228373354906E-15
11  10  1.5568213527996771E-22
12  10  4.1424411432871973E-26
6  11  2.0132278436874597E-8
7  11  4.906023834412038E-4
8  11  2.601801949047149E-19
9  11  3.4135347023533807E-12
10  11  2.7057462184140775E-14
11  11  4.742128212043154E-15
12  11  1.7050381484617318E-20
7  12  2.7126981260079824E-5
8  12  6.094348236500004E-20
9  12  3.718499439974939E-9
10  12  1.3228353740508857E-8
11  12  1.8484894383514245E-12
12  12  3.1418643702887816E-19
13  12  2.4436724357861005E-19
9  13  4.218316251043504E-17
10  13  8.090937627703609E-14
11  13  2.67737818643865E-12
12  13  2.4580106178435903E-12
13  13  2.5413776584769825E-15
14  13  1.0046933460999251E-17
9  14  3.2513160027095246E-19
10  14  2.9350592397557174E-9
11  14  7.235430051086285E-9
12  14  6.817606673539398E-9
13  14  3.839056228758526E-12
14  14  8.85814393099736E-15
15  14  9.959919586281813E-19
16  14  8.157437167673909E-19
10  15  7.247050187428802E-60
11  15  3.885712386359389E-25
12  15  8.321518793307752E-9
13  15  8.831526425779225E-12
14  15  2.8390227532212438E-12
15  15  2.1146610299271574E-12
16  15  6.517068569027298E-15
10  16  3.5265879360338183E-63
11  16  6.6131891895337624E-12
12  16  1.1960585145704296E-13
13  16  6.8054568171219046E-9
14  16  5.4457451384940215E-8
15  16  3.5230202815864546E-10
16  16  5.023386949136931E-13
17  16  7.476796275636499E-17
18  16  1.1676046841424804E-17
11  17  1.635035673675495E-67
12  17  2.535481439019547E-55
13  17  1.418204847985055E-17
14  17  2.342582883160743E-15
15  17  1.561710525666781E-10
16  17  1.167024675075218E-12
17  17  2.95643330062684E-13
18  17  1.9420829978237166E-15
19  17  1.320322553701064E-27
20  17  4.929582526673789E-18
11  18  1.925969942443778E-69
12  18  1.0000036015224887E-24
13  18  1.6075369570878235E-16
14  18  9.251087530273654E-19
15  18  2.612898390491355E-10
16  18  1.8734295709914713E-9
17  18  1.869925012857196E-11
18  18  4.867917673974611E-13
19  18  9.2888439983764E-14
20  18  1.7408645286708603E-16
14  19  1.4379263155153998E-47
15  19  4.803991004575503E-10
16  19  1.2959640599477245E-11
17  19  2.104435037596573E-9
18  19  1.3306052924532858E-10
19  19  7.894778079467174E-11
20  19  6.327534495133848E-12
15  20  8.92267610358283E-10
16  20  4.546512357997222E-9
17  20  7.538297029087014E-9
18  20  2.343079254877512E-8
19  20  2.859308374786516E-9
20  20  6.658835367663635E-9
21  20  9.272782581465922E-12
22  20  2.8100933706938263E-12
23  20  1.9454750589861493E-17
17  21  4.826396130343757E-18
18  21  5.041290683870879E-20
19  21  8.839977005302522E-10
20  21  7.962318247344347E-10
21  21  5.063943460375628E-10
22  21  5.935374561651647E-11
23  21  6.933763903591771E-14
24  21  7.178523361471536E-16
17  22  1.33778725570421E-18
18  22  2.737343478195179E-20
19  22  3.711917393541605E-9
20  22  1.0698144064685835E-8
21  22  2.234419924625538E-9
22  22  6.569626782511186E-9
23  22  4.898274917078546E-10
24  22  5.515545120677109E-10
25  22  1.3384902899678382E-13
17  23  1.623840889825919E-54
18  23  1.5124176169440063E-54
19  23  1.6884420228897794E-23
20  23  7.609460234498569E-11
21  23  2.03313857291118E-9
22  23  4.318997969713153E-9
23  23  4.951325940425777E-9
24  23  4.642511516168843E-9
25  23  1.170006461218044E-8
26  23  3.081408364325842E-12
19  24  1.7137996005464603E-24
20  24  1.973209424455565E-11
21  24  1.5268148562667728E-9
22  24  1.2365607166511203E-8
23  24  8.84298977464113E-9
24  24  3.4824298823197356E-9
25  24  4.102027380711435E-8
26  24  3.090462519341205E-8
27  24  2.5813062880740208E-11
28  24  9.869354348699727E-11
19  25  2.786922215977471E-51
20  25  1.2453120020047263E-34
21  25  2.7749539808929205E-13
22  25  1.9300107204964594E-12
23  25  8.590464370030548E-10
24  25  1.8255402788591392E-9
25  25  1.596680956297136E-8
26  25  1.2264867558704284E-7
27  25  6.890288090848914E-11
28  25  7.29459104042582E-10
20  26  1.6921814101040195E-37
21  26  4.732850983954907E-15
22  26  7.473568789340593E-14
23  26  3.933995565341752E-11
24  26  1.0547165642742867E-10
25  26  2.142661419009758E-9
26  26  5.0716654602779485E-6
27  26  1.7754194687952342E-7
28  26  1.6234767952981783E-7
29  26  2.6996972950253437E-11
30  26  2.215399399333727E-12
31  26  3.708635896021525E-8
22  27  3.6730125527405574E-23
23  27  1.549373582154711E-13
24  27  6.755660234291681E-14
25  27  7.26012135593191E-12
