-1.999408e+01 -2.186273e+01 -2.100000e+01 -2.000000e+00 -1.330587e+01 -1.239143e+01 -inf -inf -inf -inf -1.169343e+01 -3.010995e-01 -3.010300e-01 -1.101327e+01 -1.232528e+01 -1.401578e+01 -inf -inf -inf -inf  -inf -inf -inf -inf
-1.976979e+01 -2.108485e+01 -2.079134e+01 -2.000000e+00 -1.159863e+01 -1.068418e+01 -2.288653e+01 -3.203217e+01 -2.009720e+01 -3.299439e+01 -9.986181e+00 -3.010995e-01 -3.010300e-01 -9.306018e+00 -1.061804e+01 -1.230853e+01 -3.165569e+01 -5.235400e+01 -6.775891e+01 -8.931977e+01  -1.110415e+02 -1.337173e+02 -1.572623e+02 -1.382912e+02
-1.955481e+01 -2.071879e+01 -2.058565e+01 -2.000000e+00 -1.119094e+01 -1.027650e+01 -2.206572e+01 -3.079838e+01 -1.927658e+01 -3.175922e+01 -9.578500e+00 -3.010995e-01 -3.010300e-01 -8.898336e+00 -1.021035e+01 -1.190085e+01 -3.042464e+01 -5.029092e+01 -6.485383e+01 -8.556108e+01  -1.064156e+02 -1.282082e+02 -1.508510e+02 -1.327821e+02
-1.931234e+01 -2.039849e+01 -2.034950e+01 -2.000000e+00 -1.085527e+01 -9.940822e+00 -2.139220e+01 -2.978766e+01 -1.860342e+01 -3.074803e+01 -9.242822e+00 -3.010995e-01 -3.010300e-01 -8.562659e+00 -9.874677e+00 -1.156517e+01 -2.941485e+01 -4.860411e+01 -6.248670e+01 -8.250987e+01  -1.026760e+02 -1.237753e+02 -1.457193e+02 -1.283492e+02
-1.911679e+01 -2.016970e+01 -2.015705e+01 -2.000000e+00 -1.062085e+01 -9.706400e+00 -2.092224e+01 -2.908308e+01 -1.813393e+01 -3.004328e+01 -9.008400e+00 -3.010995e-01 -3.010300e-01 -8.328237e+00 -9.640255e+00 -1.133075e+01 -2.871061e+01 -4.742900e+01 -6.083957e+01 -8.038940e+01  -1.000807e+02 -1.207035e+02 -1.421690e+02 -1.252774e+02
-1.886624e+01 -1.989516e+01 -1.990890e+01 -2.000000e+00 -1.034253e+01 -9.428089e+00 -2.036418e+01 -2.824728e+01 -1.757689e+01 -2.920737e+01 -8.730089e+00 -3.010995e-01 -3.010300e-01 -8.049926e+00 -9.361944e+00 -1.105244e+01 -2.787502e+01 -4.603546e+01 -5.888732e+01 -7.787757e+01  -9.700831e+01 -1.170695e+02 -1.379721e+02 -1.216434e+02
-1.864906e+01 -1.966637e+01 -1.969294e+01 -2.000000e+00 -1.011201e+01 -9.197563e+00 -1.990144e+01 -2.755530e+01 -1.711564e+01 -2.851535e+01 -8.499564e+00 -3.010995e-01 -3.010300e-01 -7.819400e+00 -9.131418e+00 -1.082191e+01 -2.718315e+01 -4.488192e+01 -5.727178e+01 -7.579963e+01  -9.446752e+01 -1.140653e+02 -1.345041e+02 -1.186392e+02
-1.842728e+01 -1.943758e+01 -1.947190e+01 -2.000000e+00 -9.882199e+00 -8.967753e+00 -1.943918e+01 -2.686564e+01 -1.665591e+01 -2.782565e+01 -8.269753e+00 -3.010995e-01 -3.010300e-01 -7.589590e+00 -8.901608e+00 -1.059210e+01 -2.649354e+01 -4.373233e+01 -5.566201e+01 -7.372945e+01  -9.193667e+01 -1.110735e+02 -1.310510e+02 -1.156474e+02
-1.820268e+01 -1.920879e+01 -1.924776e+01 -2.000000e+00 -9.652808e+00 -8.738362e+00 -1.897609e+01 -2.617733e+01 -1.619706e+01 -2.713732e+01 -8.040363e+00 -3.010996e-01 -3.010300e-01 -7.360199e+00 -8.672217e+00 -1.036271e+01 -2.580527e+01 -4.258505e+01 -5.405564e+01 -7.166383e+01  -8.941165e+01 -1.080889e+02 -1.276066e+02 -1.126628e+02
-1.797639e+01 -1.898001e+01 -1.902174e+01 -2.000000e+00 -9.423666e+00 -8.509219e+00 -1.851067e+01 -2.548981e+01 -1.573873e+01 -2.644979e+01 -7.811220e+00 -3.010996e-01 -3.010300e-01 -7.131056e+00 -8.443074e+00 -1.013357e+01 -2.511778e+01 -4.143912e+01 -5.245126e+01 -6.960089e+01  -8.689006e+01 -1.051086e+02 -1.241674e+02 -1.096825e+02
-1.779460e+01 -1.879698e+01 -1.884009e+01 -2.000000e+00 -9.240460e+00 -8.326013e+00 -1.813533e+01 -2.494014e+01 -1.537231e+01 -2.590012e+01 -7.628014e+00 -3.010997e-01 -3.010300e-01 -6.947850e+00 -8.259868e+00 -9.950361e+00 -2.456813e+01 -4.052296e+01 -5.116862e+01 -6.795171e+01  -8.487429e+01 -1.027262e+02 -1.214183e+02 -1.073001e+02
